Dim1,Dim2,Year,Country,Region
0.612529834,-1.49131274,1946,USA,West
1.03432155,-0.496502578,1947,USA,West
1.594508233,-0.157272988,1948,USA,West
0.991055619,-0.984912023,1949,USA,West
1.493596079,0.395978473,1950,USA,West
1.286870171,0.444079038,1951,USA,West
1.670944248,-0.277064068,1952,USA,West
0.634054033,0.520336979,1953,USA,West
1.037831799,0.57214799,1954,USA,West
1.109767217,1.123814517,1955,USA,West
0.735816066,0.581503193,1956,USA,West
0.309475635,-0.928583954,1957,USA,West
0.810673022,-0.25845393,1958,USA,West
1.148784688,0.546848434,1959,USA,West
1.198645876,0.482102939,1960,USA,West
1.907937982,0.042826563,1961,USA,West
2.308032022,0.699040623,1962,USA,West
1.968164772,0.614130441,1963,USA,West
1.899496968,-0.816672145,1965,USA,West
2.275767908,-0.302661286,1966,USA,West
2.856094339,0.2878885,1967,USA,West
2.107189302,-0.566996335,1968,USA,West
1.72411654,-1.062022706,1969,USA,West
2.142601689,-0.669003522,1970,USA,West
1.961463763,-0.333753582,1971,USA,West
1.888264597,-0.697821643,1972,USA,West
2.282022784,-0.964310033,1973,USA,West
2.486987696,-1.585315345,1974,USA,West
3.009140201,1.294925717,1975,USA,West
3.098790563,-1.732699435,1976,USA,West
2.459188358,-1.191331551,1977,USA,West
2.606721389,-1.105533609,1978,USA,West
2.894654265,-1.232116637,1979,USA,West
3.642155044,-1.499287834,1980,USA,West
5.372010894,-0.613173346,1981,USA,West
3.776951986,-1.685405676,1982,USA,West
3.865901147,-1.254377929,1983,USA,West
4.81893799,-1.292029286,1984,USA,West
3.894914798,-1.277329333,1985,USA,West
4.895432683,-0.544980635,1986,USA,West
5.231160214,0.275827165,1987,USA,West
4.639583306,0.666419024,1988,USA,West
5.047797331,0.397883694,1989,USA,West
4.532111452,0.51573736,1990,USA,West
3.710489275,0.940545813,1991,USA,West
4.045575335,1.384192911,1992,USA,West
3.711588303,1.534489191,1993,USA,West
4.225701384,1.524149857,1994,USA,West
4.226549041,1.59256162,1995,USA,West
4.236867932,1.406130281,1996,USA,West
2.60334769,2.468225627,1997,USA,West
4.592472737,-0.800408576,1998,USA,West
3.206396304,1.904993257,1999,USA,West
3.087665392,1.832584216,2000,USA,West
3.329667765,2.201554887,2001,USA,West
3.286358522,2.627179054,2002,USA,West
4.405947147,1.567515396,2003,USA,West
4.204006932,1.823151835,2004,USA,West
5.346522996,1.074807849,2005,USA,West
4.273714595,1.756973423,2006,USA,West
3.948364844,1.723059492,2007,USA,West
4.221420465,2.017800497,2008,USA,West
3.285471493,1.793290818,2009,USA,West
3.790051725,-0.519934755,2010,USA,West
3.252146808,1.825675893,2011,USA,West
3.451251288,1.571229213,2012,USA,West
4.61956367,0.902899403,2013,USA,West
3.926033056,-1.689702712,2014,USA,West
4.576587965,-0.995088581,2015,USA,West
0.776814007,-1.107697306,1946,CAN,West
1.632980767,-1.028836143,1947,CAN,West
1.35241629,0.125877668,1948,CAN,West
0.658068795,-1.071494512,1949,CAN,West
1.24413199,-0.317277936,1950,CAN,West
1.582099685,-0.603332617,1951,CAN,West
1.539392849,0.128314281,1952,CAN,West
1.192837286,-0.177009662,1953,CAN,West
1.115320786,0.053799478,1954,CAN,West
1.244705473,-0.333343968,1955,CAN,West
1.278599525,0.473039407,1956,CAN,West
0.651995601,-1.141276169,1957,CAN,West
0.681262624,-0.572536279,1958,CAN,West
0.546752572,0.124301088,1959,CAN,West
0.864809239,0.186122572,1960,CAN,West
1.644536714,0.079782452,1961,CAN,West
1.70974788,0.111080811,1962,CAN,West
1.710753684,-0.753592898,1963,CAN,West
1.434274337,-0.69556607,1965,CAN,West
1.837318762,-0.141801723,1966,CAN,West
1.809660855,-0.202803163,1967,CAN,West
0.926499554,-0.998013499,1968,CAN,West
1.431537865,-0.890235892,1969,CAN,West
1.580705326,-0.243661028,1970,CAN,West
1.472206974,-0.448949759,1971,CAN,West
1.431376491,-0.535287991,1972,CAN,West
1.26687712,-0.380251702,1973,CAN,West
1.473580895,-0.474801091,1974,CAN,West
1.589986663,0.411516021,1975,CAN,West
1.57649271,-0.433796117,1976,CAN,West
1.644453975,-0.584629573,1977,CAN,West
1.666395855,-0.573174965,1978,CAN,West
1.989849668,-0.437265973,1979,CAN,West
2.131133941,-0.635546035,1980,CAN,West
2.224637689,-0.277786879,1981,CAN,West
1.645567942,-0.398416271,1982,CAN,West
1.701219476,-0.451510448,1983,CAN,West
1.950612773,-0.503664905,1984,CAN,West
1.889309385,-0.20572399,1985,CAN,West
1.92035946,-0.079503404,1986,CAN,West
2.011588515,-0.112175239,1987,CAN,West
1.745006679,-0.144332707,1988,CAN,West
1.738617562,-0.041113639,1989,CAN,West
1.867650409,-0.077181329,1990,CAN,West
1.172556452,0.758341069,1991,CAN,West
1.500169404,-0.022019751,1992,CAN,West
1.13175493,0.164994292,1993,CAN,West
1.278296846,-0.49149408,1994,CAN,West
1.298274868,-1.290395431,1995,CAN,West
1.234497965,-0.492594555,1996,CAN,West
1.495264899,-0.243994875,1997,CAN,West
1.004877796,0.876917486,1998,CAN,West
1.304970946,-1.316244039,1999,CAN,West
1.256410339,0.293067305,2000,CAN,West
1.419197255,0.168352202,2001,CAN,West
1.405624922,0.046253009,2002,CAN,West
1.458812253,-0.091557619,2003,CAN,West
1.798775058,0.015882289,2004,CAN,West
1.36089087,0.449865858,2005,CAN,West
1.638081971,0.535285921,2006,CAN,West
2.058458744,0.625304198,2007,CAN,West
1.99953863,0.714712594,2008,CAN,West
1.739462463,0.80557391,2009,CAN,West
2.109228386,-0.80805006,2010,CAN,West
1.47269151,2.354188517,2011,CAN,West
1.768704084,1.961367859,2012,CAN,West
2.161127004,1.953525219,2013,CAN,West
2.084742813,-2.333550681,2014,CAN,West
2.574057369,-1.607355421,2015,CAN,West
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
