session,rcid,importantvote,date,unres,me,nu,di,hr,co,ec,yes,no,abstain,descr,short,unres_title
1,3,0,1/1/1946,R/1/66,0,0,0,0,0,0,29,18,4,"TO ADOPT A CUBAN AMENDMENT TO THE UK PROPOSAL REFERRING THE PROVISIONAL RULES OF PROCEDURE AND ANY AMENDMENTS THEREOF TO THE 6TH COMMITTEE, SAID AMENDMENT PRESCRIBING A 1-WEEK TIME LIMIT WITHIN WHICH THE 6TH COMM. MUST SUBMIT ITS REPORT ON THE","AMENDMENTS, RULES OF PROCEDURE","R/1/66AMENDMENTS, RULES OF PROCEDURE"
1,4,0,1/2/1946,R/1/79,0,0,0,0,0,0,9,34,8,"TO ADOPT A USSR PROPOSAL ADJOURNING DEBATE ON AND POSTPONINGELECTIONS OF THE NON-PERMANENT MEMBERS OF THE SECURITY COUNCIL, TO THE FOLLOWING WEEK.",SECURITY COUNCIL ELECTIONS,R/1/79SECURITY COUNCIL ELECTIONS
1,5,0,1/4/1946,R/1/98,0,0,0,0,0,0,28,22,1,"TO ADOPT THE KOREAN PROPOSAL THAT INVALID BALLOTS BE INCLUDED IN THE TOTAL NUMBER OF \MEMBERS PRESENT AND VOTING\\, IN CALCULATING THE MAJORITY VOTE.\""""",VOTING PROCEDURE,R/1/98VOTING PROCEDURE
1,6,0,1/4/1946,R/1/107,0,0,0,1,0,0,12,27,10,TO ADOPT A CUBAN PROPOSAL (A/3-C) THAT AN ITEM ON A DECLARATION OF THE RIGHTS AND DUTIES OF MAN BE TABLED.,DECLARATION OF HUMAN RIGHTS,R/1/107DECLARATION OF HUMAN RIGHTS
1,7,0,1/2/1946,R/1/295,,,,,,,25,18,0,"TO ADOPT A 6TH COMMITTEE AMENDMENT (A/14) TO THE PROVISIONAL RULES OF PROCEDURE, WHICH AMENDMENT PROVIDES THAT RULE 73 SHOULD END WITH:\THERE SHALL BE NO NOMINATIONS.\\""	0	0	0	0	0	0",GENERAL ASSEMBLY ELECTIONS,R/1/295GENERAL ASSEMBLY ELECTIONS
1,8,0,1/5/1946,R/1/297,0,0,0,0,0,1,38,1,2,"TO ADOPT A SECOND 6TH COMM. AMENDMENT (A/14) TO THE PROVISIONAL RULES OF PROCEDURE, WHICH AMENDMENT EPLACES PROVISIONAL RULE T WITH A NEW TEXT AUTHORIZING THE ECONOMIC & SOC. COUNCIL TO CALL INTERNATIONAL CONFERENCES ON ANY MATTER WITHIN ITS CO",ECOSOC POWERS,R/1/297ECOSOC POWERS
1,9,0,2/5/1946,R/1/329,0,0,0,0,0,0,45,0,2,TO OPEN THE DISCUSSION ON THE POLISH DRAFT RESOLUTION (A/22) PROVIDING FOR ECO. & SOC. COUNCIL STUDY AND ASSEMBLY DISCUSSION OF THE RECONSTRUCTION OF U.N. MEMBER-COUNTRIES DEVASTATED BY THE WAR.,POST-WAR RECONSTRUCTION,R/1/329POST-WAR RECONSTRUCTION
1,10,0,2/5/1946,R/1/361,0,0,0,0,0,0,46,2,0,"TO ADOPT GENERAL COMM. DRAFT RESOLUTION (A/40) AS AMENDED BY A NORWEGIAN ORAL PROPOSAL (REPLACING \TAKE INTO ACCOUNT THE LETTER AND SPIRIT\\ IN 3RD PARAGRAPH WITH, \\""ACT IN ACCORDANCE WITH THE LETTER AND THE SPIRIT\\""), RECOMMENDING UN MEMBERS T""","U.N. MEMBERS, RELATIONS WITH SPAIN","R/1/361U.N. MEMBERS, RELATIONS WITH SPAIN"
1,11,0,2/5/1946,R/1/376,0,0,0,0,1,0,41,0,0,"TO ADOPT DRAFT RESOLUTIONS I AND II AS A WHOLE, OF THE 4TH COMM. REPORT (A/34) ON NON-SELF-GOVERNING TERRITORIES. RESOLUTION I PROVIDES TO PROMOTE THE POLITICAL, SOCIAL, ECONOMIC, AND EDUCATIONAL ASPIRATIONS OF NON-SELF-GOVERNING PEOPLES THROUG",TRUSTEESHIP AMENDMENTS,R/1/376TRUSTEESHIP AMENDMENTS
1,12,0,2/6/1946,R/1/394,0,0,0,0,0,0,21,22,3,"TO ADOPT PARAGRAPH (A) OF THE 6TH COMM. DRAFT RESOLUTION  A/38) ON TERMS OF OFFICE OF MEMBERS OF UN COUNCILS, WHICH  PARAGRAPH AMENDS PROVISIONAL RULE 78 BY BEGINNING THE TERM OF OFFICE IMMEDIATELY UPON ELECTION TO A VACANT SEAT, OR IMMEDIATELY",COUNCIL MEMBER TERM LENGTH,R/1/394COUNCIL MEMBER TERM LENGTH
1,13,0,2/1/1946,R/1/434,0,0,0,0,0,0,10,31,2,TO ADOPT USSR AMMENDMENT (A/C.3/19) TO A 3RD COMM. DRAFT RESOLUTION (A/45) REFERRING THE PROBLEM OF REFUGEES AND DISPLACED PERSONS TO E.S.C. FOR STUDY AND RECOMMENDATIONS. SAID AMENDMENT WOULD INSERT A NEW SUB-PARAGRAPH C(IV) READING:  \NO PROP,"PROPAGANDA,  REFUGEE CAMPS","R/1/434PROPAGANDA,  REFUGEE CAMPS"
1,14,0,2/1/1946,R/1/435,0,0,0,0,0,0,7,30,5,"TO ADOPT A USSR AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING A NEW SUB-PARAGRAPH C(V) AS FOLLOWS:  \THE ADMINISTRATIVE PERSONNEL OF REFUGEE AND DISPLACED PERSONS' CAMPS SHOULD BE COMPRISED PRIMARILY OF REPRES","PERSONNEL, REFUGEE CAMPS","R/1/435PERSONNEL, REFUGEE CAMPS"
1,15,0,2/1/1946,R/1/435,0,0,0,0,0,0,10,26,6,"TO ADOPT USSR REVISED-AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING THE FOLLOWING TEXT TO PARAGRAPH (D):  \QUISLINGS, TRAITORS AND WAR CRIMINALS SHOULD NOT BE REGARDED AS REFUGEES WHO ARE ENTITLED TO GET PROTE","QUISLINGS, TRAITORS AND WAR CRIMINALS","R/1/435QUISLINGS, TRAITORS AND WAR CRIMINALS"
1,16,0,2/2/1946,R/1/467,0,0,0,0,0,0,7,34,7,"TO ADOPT URUGUAY (ORAL) AMENDMENT TO THE GENERAL COMM. DRAFT RESOLUTION (A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR UN COUNCIL MEMBERS ELECTED IN JAN. 1946 UNDER THE PROVISIONAL RULES OF PROCEDURE, SAID AMENDMENT PRESCRIBING INSTEAD AN 8",TERM OF COUNCIL MEMBERS,R/1/467TERM OF COUNCIL MEMBERS
1,17,0,2/2/1946,R/1/467B,0,0,0,0,0,0,27,19,2,"TO ADOPT NEW ZEALAND (ORAL) AMENDMENT TO GENERAL COMM DRAFT RESOLUTION(A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR COUNCIL MEMBERS ELECTED IN JAN. 1946, SAID AMENDMENT PRESCRIBING INSTEAD A 12-MONTH TERM OF OFFICE.",TERM OF COUNCIL MEMBERS,R/1/467BTERM OF COUNCIL MEMBERS
1,18,0,2/3/1946,R/1/532,0,0,0,0,0,1,12,26,9,TO ADOPT USSR (ORAL) AMENDMENT REPLACING THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) WITH THE FOLLOWING:  \TAKING INTO CONSIDERATION THE QUESTION RAISED BY THE WORLD FEDERATION OF TRADE UNIONS CONCERNING ITS PARTICIPATION IN THE WORK OF THE ECO,ECOSOC CONSULTANTS,R/1/532ECOSOC CONSULTANTS
1,19,0,2/3/1946,R/1/534,0,0,0,0,0,1,32,6,11,"TO ADOPT THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) PROVIDING THAT THE E.S.C. ARRANGE FOR CONSULTATIVE COLLABORATION WITH NON-GOVERNMENTAL ORGANIZATIONS, INTERNATIONAL, NATIONAL OR REGIONAL.",ECOSOC CONSULTANTS,R/1/534ECOSOC CONSULTANTS
1,20,0,12/1/1946,R/1/1060,0,0,0,0,0,0,29,24,1,TO REQUIRE 2/3 MAJORITY RULE IN VOTING ON THE QUESTION OF TREATMENT OF INDIANS IN THE UNION OF SOUTH AFRICA.,INDIANS IN SOUTH AFRICA,R/1/1060INDIANS IN SOUTH AFRICA
1,21,0,12/1/1946,R/1/1061A,0,0,0,0,0,0,21,31,2,"TO ADOPT S. AFRICA AMENDMENT (A/205/ADD.1) TO JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205), PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITYWITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMEN",INDIANS IN SOUTH AFRICA,R/1/1061AINDIANS IN SOUTH AFRICA
1,22,0,12/1/1946,R/1/1061B,0,0,0,0,0,0,32,15,7,TO ADOPT JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205) PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITY WITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMENTS BETWEEN INDIA AND SOUTH AFRICA.,INDIANS IN SOUTH AFRICA,R/1/1061BINDIANS IN SOUTH AFRICA
1,23,0,12/5/1946,R/1/1222,0,0,0,0,0,0,34,6,13,"TO ADOPT WHOLE 1ST COMM. DRAFT RESOLUTION (A/241) RECOMMENDING THE SECURITY COUNCIL TO CONSIDER ADEQUATE REMEDIAL MEASURES, IF THERE SHOULD NOT BE ESTABLISHED IN SPAIN WITHIN A REASONABLE PERIOD OF TIME A FREELY-ELECTED, FULLY-REPRESENTATIVE DE","U.N. MEMBERS, RELATIONS WITH SPAIN","R/1/1222U.N. MEMBERS, RELATIONS WITH SPAIN"
