year,ccode,session,Idealpoint,unsc_region,g77
1946,2,1,1.737745,West,0
1947,2,2,1.841704,West,0
1948,2,3,1.990924,West,0
1949,2,4,1.939487,West,0
1950,2,5,1.865078,West,0
1951,2,6,1.891937,West,0
1952,2,7,1.961689,West,0
1953,2,8,1.770732,West,0
1954,2,9,1.55654,West,0
1955,2,10,1.8165849,West,0
1956,2,11,1.3448941,West,0
1957,2,12,1.315637,West,0
1958,2,13,1.308059,West,0
1959,2,14,1.61792,West,0
1960,2,15,1.574007,West,0
1961,2,16,1.7275521,West,0
1962,2,17,1.921545,West,0
1963,2,18,1.9040101,West,0
1965,2,20,2.0057189,West,0
1966,2,21,2.0598421,West,0
1967,2,22,2.258528,West,0
1968,2,23,2.2090039,West,0
1969,2,24,2.1056211,West,0
1970,2,25,2.144767,West,0
1971,2,26,1.836305,West,0
1972,2,27,2.066957,West,0
1973,2,28,2.243139,West,0
1974,2,29,2.088089,West,0
1975,2,30,2.1855831,West,0
1976,2,31,2.4389369,West,0
1977,2,32,2.2612281,West,0
1978,2,33,2.2647121,West,0
1979,2,34,2.3306251,West,0
1980,2,35,2.3689649,West,0
1981,2,36,2.7128749,West,0
1982,2,37,2.6152091,West,0
1983,2,38,2.622787,West,0
1984,2,39,2.7727211,West,0
1985,2,40,2.766,West,0
1986,2,41,2.8741579,West,0
1987,2,42,2.95432,West,0
1988,2,43,2.911284,West,0
1989,2,44,2.961787,West,0
1990,2,45,2.8921001,West,0
1991,2,46,2.7690549,West,0
1992,2,47,2.777462,West,0
1993,2,48,2.753566,West,0
1994,2,49,2.688412,West,0
1995,2,50,2.904525,West,0
1996,2,51,3.0042241,West,0
1997,2,52,2.91486,West,0
1998,2,53,2.8295031,West,0
1999,2,54,2.6813409,West,0
2000,2,55,2.6211519,West,0
2001,2,56,2.589457,West,0
2002,2,57,2.6574669,West,0
2003,2,58,2.827909,West,0
2004,2,59,2.8184209,West,0
2005,2,60,2.954437,West,0
2006,2,61,2.9466579,West,0
2007,2,62,2.844069,West,0
2008,2,63,2.835547,West,0
2009,2,64,2.622375,West,0
2010,2,65,2.5876391,West,0
2011,2,66,2.5422051,West,0
2012,2,67,2.5884581,West,0
2013,2,68,2.6453171,West,0
2014,2,69,2.430964,West,0
2015,2,70,2.4880409,West,0
1946,20,1,1.84224,West,0
1947,20,2,2.0187969,West,0
1948,20,3,1.94964,West,0
1949,20,4,1.7285579,West,0
1950,20,5,1.871353,West,0
1951,20,6,1.985217,West,0
1952,20,7,2.048934,West,0
1953,20,8,1.8159961,West,0
1954,20,9,1.8291709,West,0
1955,20,10,1.799051,West,0
1956,20,11,1.631779,West,0
1957,20,12,1.675579,West,0
1958,20,13,1.62624,West,0
1959,20,14,1.149292,West,0
1960,20,15,1.153911,West,0
1961,20,16,1.5132149,West,0
1962,20,17,1.5943559,West,0
1963,20,18,1.6586519,West,0
1965,20,20,1.715647,West,0
1966,20,21,1.777945,West,0
1967,20,22,1.768598,West,0
1968,20,23,1.578106,West,0
1969,20,24,1.638779,West,0
1970,20,25,1.610045,West,0
1971,20,26,1.410593,West,0
1972,20,27,1.58312,West,0
1973,20,28,1.49326,West,0
1974,20,29,1.494176,West,0
1975,20,30,1.460819,West,0
1976,20,31,1.508972,West,0
1977,20,32,1.709959,West,0
1978,20,33,1.788758,West,0
1979,20,34,1.829756,West,0
1980,20,35,1.8491679,West,0
1981,20,36,1.801607,West,0
1982,20,37,1.672672,West,0
1983,20,38,1.666011,West,0
1984,20,39,1.709933,West,0
1985,20,40,1.666077,West,0
1986,20,41,1.5666699,West,0
1987,20,42,1.569924,West,0
1988,20,43,1.423063,West,0
1989,20,44,1.365967,West,0
1990,20,45,1.291199,West,0
1991,20,46,1.261032,West,0
1992,20,47,1.239694,West,0
1993,20,48,1.131272,West,0
1994,20,49,1.136775,West,0
1995,20,50,1.11181,West,0
1996,20,51,1.202783,West,0
1997,20,52,1.113933,West,0
1998,20,53,1.183152,West,0
1999,20,54,1.169259,West,0
2000,20,55,1.093791,West,0
2001,20,56,1.166508,West,0
2002,20,57,1.109467,West,0
2003,20,58,1.111847,West,0
2004,20,59,1.225611,West,0
2005,20,60,1.249715,West,0
2006,20,61,1.411496,West,0
2007,20,62,1.5681829,West,0
2008,20,63,1.622751,West,0
2009,20,64,1.595686,West,0
2010,20,65,1.5506181,West,0
2011,20,66,1.828578,West,0
2012,20,67,1.934921,West,0
2013,20,68,1.940172,West,0
2014,20,69,1.740467,West,0
2015,20,70,1.7529449,West,0
1973,31,28,.73658919,Latin America,0
1974,31,29,.70501292,Latin America,0
1975,31,30,.95435452,Latin America,0
1976,31,31,.74036771,Latin America,1
1977,31,32,.56237322,Latin America,1
1978,31,33,.54099971,Latin America,1
1979,31,34,.20509779,Latin America,1
1980,31,35,.1860742,Latin America,1
1981,31,36,.1395112,Latin America,1
1982,31,37,.1315597,Latin America,1
1983,31,38,.2532253,Latin America,1
1984,31,39,.2248138,Latin America,1
1985,31,40,.21186709,Latin America,1
1986,31,41,.2330474,Latin America,1
1987,31,42,.086816378,Latin America,1
1988,31,43,.091412663,Latin America,1
1989,31,44,-.032628931,Latin America,1
1990,31,45,-.075269461,Latin America,1
1991,31,46,-.26660141,Latin America,1
1992,31,47,-.35353759,Latin America,1
1993,31,48,-.30149239,Latin America,1
1994,31,49,-.1218946,Latin America,1
1995,31,50,.1094899,Latin America,1
1996,31,51,-.0078609614,Latin America,1
1997,31,52,-.1407539,Latin America,1
1998,31,53,-.20052341,Latin America,1
1999,31,54,-.22818939,Latin America,1
2000,31,55,-.34075931,Latin America,1
2001,31,56,-.28370881,Latin America,1
2002,31,57,-.3615348,Latin America,1
2003,31,58,-.35671899,Latin America,1
2004,31,59,-.50577801,Latin America,1
2005,31,60,-.58471268,Latin America,1
2006,31,61,-.40703839,Latin America,1
