"","ccode","Vote","History_vote"
"1",160,"Yes","Yes"
"2",305,"Yes","Yes"
"3",434,"Yes","Yes"
"4",571,"Yes","Yes"
"5",140,"Yes","Yes"
"6",439,"Yes","Yes"
"7",155,"Yes","Yes"
"8",94,"Yes","Yes"
"9",316,"Yes","Yes"
"10",366,"Yes","Yes"
"11",220,"Yes","Yes"
"12",255,"Yes","Yes"
"13",205,"Yes","Yes"
"14",325,"Yes","Yes"
"15",740,"Yes","Yes"
"16",705,"Yes","Yes"
"17",781,"Yes","Yes"
"18",70,"Yes","Yes"
"19",341,"Yes","Yes"
"20",600,"Yes","Yes"
"21",135,"Yes","Yes"
"22",840,"Yes","Yes"
"23",732,"Yes","Yes"
"24",360,"Yes","Yes"
"25",451,"Yes","Yes"
"26",343,"Yes","Yes"
"27",696,"Yes","Yes"
"28",200,"Yes","Yes"
"29",2,"Yes","Yes"
"30",710,"No","No"
"31",40,"No","No"
"32",770,"No","Abstain"
"33",365,"No","No"
"34",101,"No","No"
"35",816,"No","No"
"36",615,"Abstain","Abstain"
"37",484,"Abstain","Abstain"
"38",530,"Abstain","Abstain"
"39",481,"Abstain","Abstain"
"40",750,"Abstain","Abstain"
"41",850,"Abstain","Abstain"
"42",501,"Abstain","Abstain"
"43",690,"Abstain","Abstain"
"44",565,"Abstain","Abstain"
"45",670,"Abstain","Abstain"
"46",560,"Abstain","Abstain"
"47",700,NA,"Yes"
"48",339,NA,"Yes"
"49",232,NA,"Yes"
"50",540,NA,"Abstain"
"51",58,NA,"Abstain"
"52",371,NA,"Yes"
"53",900,NA,"Yes"
"54",373,NA,NA
"55",31,NA,"Yes"
"56",692,NA,"Yes"
"57",771,NA,"Abstain"
"58",53,NA,"Yes"
"59",370,NA,"No"
"60",211,NA,"Yes"
"61",80,NA,"Yes"
"62",760,NA,"Yes"
"63",145,NA,"No"
"64",346,NA,"Yes"
"65",835,NA,"Abstain"
"66",355,NA,"Yes"
"67",516,NA,"Yes"
"68",402,NA,"Yes"
"69",811,NA,"Abstain"
"70",471,NA,"Abstain"
"71",20,NA,"Yes"
"72",482,NA,"Yes"
"73",483,NA,"Yes"
"74",100,NA,"Yes"
"75",581,NA,"Abstain"
"76",437,NA,"Yes"
"77",344,NA,"Yes"
"78",352,NA,"Yes"
"79",731,NA,"No"
"80",490,NA,"Abstain"
"81",390,NA,"Yes"
"82",522,NA,"Yes"
"83",54,NA,"Yes"
"84",42,NA,"Abstain"
"85",130,NA,"No"
"86",651,NA,"No"
"87",92,NA,"Yes"
"88",411,NA,"NaN"
"89",531,NA,"Abstain"
"90",950,NA,"Abstain"
"91",375,NA,"Yes"
"92",420,NA,"No"
"93",372,NA,"Yes"
"94",452,NA,"Yes"
"95",350,NA,"Yes"
"96",55,NA,"Yes"
"97",90,NA,"Yes"
"98",438,NA,"Abstain"
"99",404,NA,"Yes"
"100",110,NA,"Abstain"
"101",41,NA,"Yes"
"102",91,NA,"Yes"
"103",310,NA,"Yes"
"104",395,NA,"Yes"
"105",630,NA,"No"
"106",645,NA,"Yes"
"107",666,NA,"Yes"
"108",51,NA,"Yes"
"109",663,NA,"Yes"
"110",946,NA,"Yes"
"111",703,NA,"Abstain"
"112",812,NA,"No"
"113",367,NA,"Yes"
"114",660,NA,"Yes"
"115",570,NA,"Abstain"
"116",450,NA,"Yes"
"117",620,NA,"Abstain"
"118",223,NA,"Yes"
"119",368,NA,"Yes"
"120",212,NA,"Yes"
"121",580,NA,"Yes"
"122",553,NA,"Yes"
"123",820,NA,"Abstain"
"124",432,NA,"Abstain"
"125",338,NA,"Yes"
"126",983,NA,"Yes"
"127",435,NA,"Abstain"
"128",590,NA,"Yes"
"129",987,NA,"Yes"
"130",221,NA,"Yes"
"131",712,NA,"NaN"
"132",541,NA,"Abstain"
"133",775,NA,"No"
"134",970,NA,"Yes"
"135",790,NA,"Abstain"
"136",210,NA,"Yes"
"137",920,NA,"Yes"
"138",93,NA,"Abstain"
"139",436,NA,"Abstain"
"140",475,NA,"Abstain"
"141",385,NA,"Yes"
"142",698,NA,"No"
"143",986,NA,"Yes"
"144",95,NA,"Yes"
"145",910,NA,"Yes"
"146",150,NA,"Yes"
"147",290,NA,"Yes"
"148",235,NA,"Yes"
"149",694,NA,"Abstain"
"150",359,NA,"Yes"
"151",517,NA,"Yes"
"152",60,NA,"Abstain"
"153",56,NA,"Abstain"
"154",57,NA,"Abstain"
"155",990,NA,"Yes"
"156",331,NA,"Yes"
"157",403,NA,"Yes"
"158",433,NA,"Abstain"
"159",NA,NA,"Yes"
"160",591,NA,"Yes"
"161",830,NA,"Abstain"
"162",317,NA,"Yes"
"163",349,NA,"Yes"
"164",940,NA,"Abstain"
"165",520,NA,"Yes"
"166",626,NA,"Yes"
"167",230,NA,"Yes"
"168",780,NA,"No"
"169",625,NA,"No"
"170",115,NA,"Abstain"
"171",572,NA,NA
"172",380,NA,"Yes"
"173",225,NA,"Yes"
"174",652,NA,"No"
"175",702,NA,"Abstain"
"176",800,NA,"Yes"
"177",860,NA,"Yes"
"178",461,NA,"Abstain"
"179",955,NA,"Abstain"
"180",52,NA,"Abstain"
"181",616,NA,"Yes"
"182",640,NA,"Yes"
"183",701,NA,"Abstain"
"184",947,NA,"Yes"
"185",500,NA,"Abstain"
"186",369,NA,"Yes"
"187",510,NA,"Abstain"
"188",165,NA,"Yes"
"189",704,NA,"No"
"190",935,NA,"Yes"
"191",679,NA,"Abstain"
"192",551,NA,"Abstain"
"193",552,NA,"No"
