ccode,Vote,History_vote
339,Yes,Yes
160,Yes,Yes
571,Yes,Yes
140,Yes,Yes
437,Yes,Yes
92,Yes,Yes
366,Yes,Yes
220,Yes,Yes
255,Yes,Yes
452,Yes,Abstain
205,Yes,Yes
740,Yes,Yes
705,Yes,Yes
367,Yes,Yes
781,Yes,Yes
70,Yes,Yes
341,Yes,Yes
600,Yes,Yes
210,Yes,Yes
150,Yes,Yes
235,Yes,Yes
732,Yes,Yes
451,Yes,Yes
343,Yes,Yes
696,Yes,Yes
200,Yes,Yes
2,Yes,Yes
145,No,No
710,No,No
40,No,No
365,No,No
101,No,No
816,No,No
615,Abstain,No
771,Abstain,Abstain
484,Abstain,Abstain
530,Abstain,Abstain
481,Abstain,Yes
750,Abstain,Abstain
850,Abstain,Abstain
501,Abstain,Abstain
565,Abstain,Abstain
475,Abstain,Abstain
770,Abstain,Abstain
694,Abstain,Abstain
670,Abstain,Yes
560,Abstain,Abstain
700,,Yes
232,,Yes
371,,Yes
900,,Yes
305,,Yes
31,,Yes
692,,Yes
53,,Yes
211,,Yes
80,,Yes
760,,Yes
346,,Yes
355,,Yes
402,,Yes
20,,Yes
155,,Yes
100,,Yes
581,,Yes
94,,Yes
344,,Yes
352,,Yes
316,,Yes
390,,Yes
522,,Yes
375,,Yes
372,,Yes
350,,Yes
55,,Yes
90,,Yes
404,,Yes
41,,Yes
91,,Yes
310,,Yes
395,,Yes
645,,Yes
666,,Yes
325,,Yes
51,,Yes
663,,Yes
660,,Yes
450,,Yes
223,,Yes
368,,Yes
212,,Yes
580,,Yes
553,,Yes
338,,Yes
983,,Yes
590,,Yes
987,,Yes
221,,Yes
970,,Yes
920,,Yes
385,,Yes
986,,Yes
95,,Yes
910,,Yes
135,,Yes
840,,Yes
290,,Yes
359,,Yes
360,,Yes
517,,Yes
990,,Yes
331,,Yes
345,,Yes
591,,Yes
317,,Yes
349,,Yes
626,,Yes
230,,Yes
780,,Yes
380,,Yes
225,,Yes
702,,Yes
800,,Yes
860,,Yes
461,,Yes
616,,Yes
640,,Yes
947,,Yes
369,,Yes
165,,Yes
935,,Yes
370,,No
516,,No
731,,No
651,,No
630,,No
812,,No
775,,No
698,,No
625,,No
652,,No
704,,No
552,,No
540,,Abstain
835,,Abstain
439,,Abstain
811,,Abstain
471,,Abstain
42,,Abstain
130,,Abstain
531,,Abstain
950,,Abstain
420,,Abstain
438,,Abstain
110,,Abstain
690,,Abstain
703,,Abstain
570,,Abstain
620,,Abstain
820,,Abstain
432,,Abstain
435,,Abstain
541,,Abstain
790,,Abstain
93,,Abstain
436,,Abstain
60,,Abstain
56,,Abstain
57,,Abstain
433,,Abstain
830,,Abstain
940,,Abstain
115,,Abstain
572,,Abstain
955,,Abstain
52,,Abstain
701,,Abstain
500,,Abstain
510,,Abstain
679,,Abstain
551,,Abstain
