ccode,CABB,Country,region
58,AAB,Antigua & Barbuda,Antigua & Barbuda
700,AFG,Afghanistan,Afghanistan
339,ALB,Albania,Albania
615,ALG,Algeria,Algeria
232,AND,Andorra,Andorra
540,ANG,Angola,Angola
160,ARG,Argentina,Argentina
371,ARM,Armenia,Armenia
900,AUL,Australia,Australia
305,AUS,Austria,Austria
373,AZE,Azerbaijan,Azerbaijan
692,BAH,Bahrain,Bahrain
53,BAR,Barbados,Barbados
211,BEL,Belgium,Belgium
434,BEN,Benin,Benin
439,BFO,Burkina Faso,Burkina Faso
31,BHM,Bahamas,Bahamas
760,BHU,Bhutan,Bhutan
370,BLR,Belarus,Belarus
80,BLZ,Belize,Belize
771,BNG,Bangladesh,Bangladesh
145,BOL,Bolivia,Bolivia
346,BOS,Bosnia and Herzegovina,Bosnia and Herzegovina
571,BOT,Botswana,Botswana
140,BRA,Brazil,Brazil
835,BRU,Brunei,Brunei
516,BUI,Burundi,Burundi
355,BUL,Bulgaria,Bulgaria
811,CAM,Cambodia,Cambodia
20,CAN,Canada,Canada
471,CAO,Cameroon,Cameroon
402,CAP,Cape Verde,Cape Verde
437,CDI,Ivory Coast,Ivory Coast
482,CEN,Central African Republic,Central African Republic
483,CHA,Chad,Chad
155,CHL,Chile,Chile
710,CHN,China,China
100,COL,Colombia,Colombia
581,COM,Comoros,Comoros
484,CON,Congo,Republic of Congo
94,COS,Costa Rica,Costa Rica
344,CRO,Croatia,Croatia
40,CUB,Cuba,Cuba
352,CYP,Cyprus,Cyprus
315,CZE,Czechoslovakia,Czechoslovakia
316,CZR,Czech Republic,Czech Republic
390,DEN,Denmark,Denmark
522,DJI,Djibouti,Djibouti
54,DMA,Dominica,Dominica
42,DOM,Dominican Republic,Dominican Republic
490,DRC,Democratic Republic of the Congo,Democratic Republic of the Congo
816,DRV,Vietnam,Vietnam
130,ECU,Ecuador,Ecuador
651,EGY,Egypt,Egypt
411,EQG,Equatorial Guinea,Equatorial Guinea
531,ERI,Eritrea,Eritrea
366,EST,Estonia,Estonia
530,ETH,Ethiopia,Ethiopia
860,ETM,East Timor,East Timor
950,FIJ,Fiji,Fiji
375,FIN,Finland,Finland
220,FRN,France,France
987,FSM,Federated States of Micronesia,Federated States of Micronesia
481,GAB,Gabon,Gabon
420,GAM,Gambia,Gambia
265,GDR,German Democratic Republic,Germany
260,GFR,German Federal Republic,Germany
255,GFR,German Federal Republic,Germany
452,GHA,Ghana,Ghana
404,GNB,Guinea-Bissau,Guinea-Bissau
350,GRC,Greece,Greece
372,GRG,Georgia,Georgia
55,GRN,Grenada,Grenada
90,GUA,Guatemala,Guatemala
438,GUI,Guinea,Guinea
110,GUY,Guyana,Guyana
41,HAI,Haiti,Haiti
91,HON,Honduras,Honduras
310,HUN,Hungary,Hungary
395,ICE,Iceland,Iceland
750,IND,India,India
850,INS,Indonesia,Indonesia
205,IRE,Ireland,Ireland
630,IRN,Iran,Iran
645,IRQ,Iraq,Iraq
666,ISR,Israel,Israel
325,ITA,Italy,Italy
51,JAM,Jamaica,Jamaica
663,JOR,Jordan,Jordan
740,JPN,Japan,Japan
501,KEN,Kenya,Kenya
690,KUW,Kuwait,Kuwait
703,KYR,Kyrgyzstan,Kyrgyzstan
705,KZK,Kazakhstan,Kazakhstan
812,LAO,Laos,Laos
367,LAT,Latvia,Latvia
450,LBR,Liberia,Liberia
660,LEB,Lebanon,Lebanon
570,LES,Lesotho,Lesotho
620,LIB,Libya,Libya
223,LIE,Liechtenstein,Liechtenstein
368,LIT,Lithuania,Lithuania
212,LUX,Luxembourg,Luxembourg
435,MAA,Mauritania,Mauritania
343,MAC,Macedonia,Macedonia
781,MAD,Maldives,Maldives
580,MAG,Madagascar,Madagascar
820,MAL,Malaysia,Malaysia
590,MAS,Mauritius,Mauritius
553,MAW,Malawi,Malawi
70,MEX,Mexico,Mexico
359,MLD,Moldova,Moldova
432,MLI,Mali,Mali
338,MLT,Malta,Malta
221,MNC,Monaco,Monaco
341,MNG,Montenegro,Montenegro
712,MON,Mongolia,Mongolia
600,MOR,Morocco,Morocco
983,MSI,Marshall Islands,Marshall Islands
775,MYA,Myanmar,Myanmar
541,MZM,Mozambique,Mozambique
565,NAM,Namibia,Namibia
970,NAU,Nauru,Nauru
946,KIR,Kiribati,Kiribati
790,NEP,Nepal,Nepal
920,NEW,New Zealand,New Zealand
93,NIC,Nicaragua,Nicaragua
475,NIG,Nigeria,Nigeria
436,NIR,Niger,Niger
385,NOR,Norway,Norway
210,NTH,Netherlands,Netherlands
698,OMA,Oman,Oman
770,PAK,Pakistan,Pakistan
986,PAL,Palau,Palau
95,PAN,Panama,Panama
150,PAR,Paraguay,Paraguay
135,PER,Peru,Peru
840,PHI,Philippines,Philippines
910,PNG,Papua New Guinea,Papua New Guinea
290,POL,Poland,Poland
235,POR,Portugal,Portugal
731,PRK,North Korea,North Korea
694,QAT,Qatar,Qatar
732,ROK,South Korea,South Korea
360,ROM,Romania,Romania
365,RUS,Russia,Russia
517,RWA,Rwanda,Rwanda
560,SAF,South Africa,South Africa
92,SAL,El Salvador,El Salvador
670,SAU,Saudi Arabia,Saudi Arabia
433,SEN,Senegal,Senegal
591,SEY,Seychelles,Seychelles
451,SIE,Sierra Leone,Sierra Leone
830,SIN,Singapore,Singapore
60,SKN,St. Kitts and Nevis,St. Kitts and Nevis
317,SLO,Slovakia,Slovakia
56,SLU,St. Lucia,St. Lucia
349,SLV,Slovenia,Slovenia
331,SNM,San Marino,San Marino
940,SOL,Solomon Islands,Solomon Islands
520,SOM,Somalia,Somalia
230,SPN,Spain,Spain
780,SRI,Sri Lanka,Sri Lanka
626,SSUD,South Sudan,South Sudan
403,STP,Sao Tome and Principe,Sao Tome and Principe
625,SUD,Sudan,Sudan
115,SUR,Suriname,Suriname
57,SVG,St. Vincent and the Grenadines,St. Vincent and the Grenadines
572,SWA,Swaziland,Swaziland
380,SWD,Sweden,Sweden
